DR_NO,Date_Rptd,DATE_OCC,TIME_OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
241715135,12/27/2024 0:00,12/19/2024 0:00,1406,17,Devonshire,1707,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0394 0344,43,F,H,116,OTHER/OUTSIDE,,,IC,Invest Cont,440,,,,12400    BRADFORD                     PL,,34.2957,-118.514
240122838,12/19/2024 0:00,12/19/2024 0:00,45,1,Central,121,2,354,THEFT OF IDENTITY,930,47,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,900 W  TEMPLE                       ST,,34.0607,-118.2494
240218228,12/20/2024 0:00,12/19/2024 0:00,2300,2,Rampart,275,1,330,BURGLARY FROM VEHICLE,1822 1300 1609 0329 0344,29,M,H,116,OTHER/OUTSIDE,,,IC,Invest Cont,330,,,,1700 W  OLYMPIC                      BL,,34.0497,-118.2754
241415994,12/19/2024 0:00,12/19/2024 0:00,710,14,Pacific,1464,1,330,BURGLARY FROM VEHICLE,1300 0344 1822,37,F,O,707,GARAGE/CARPORT,,,IC,Invest Cont,330,,,,6300    SEABLUFF                     DR,,33.9722,-118.422
241913834,12/20/2024 0:00,12/19/2024 0:00,1641,19,Mission,1998,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),325,49,M,X,405,CLOTHING STORE,,,AA,Adult Arrest,442,,,,7800    VAN NUYS                     BL,,34.2153,-118.4409
240913785,12/20/2024 0:00,12/19/2024 0:00,2300,9,Van Nuys,984,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822,52,M,W,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,14500    GREENLEAF                    ST,,34.1482,-118.4494
240513365,12/19/2024 0:00,12/19/2024 0:00,422,5,Harbor,529,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344,40,M,A,204,MANUFACTURING COMPANY,,,IC,Invest Cont,341,,,,700 N  HENRY FORD                   AV,,33.7798,-118.2414
240317152,12/21/2024 0:00,12/19/2024 0:00,1,3,Southwest,356,1,330,BURGLARY FROM VEHICLE,0329 1822 1307 0344,27,F,O,101,STREET,,,IC,Invest Cont,330,,,,W  36TH                         ST,WESTERN                      AV,34.0228,-118.3089
240317155,12/21/2024 0:00,12/19/2024 0:00,1748,3,Southwest,356,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822 0394,33,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440,,,,1400 W  36TH                         ST,,34.0228,-118.3002
240513383,12/20/2024 0:00,12/19/2024 0:00,1730,5,Harbor,501,1,330,BURGLARY FROM VEHICLE,0329 0344 1300,37,X,C,108,PARKING LOT,,,IC,Invest Cont,330,,,,700 W  182ND                        ST,,33.8696,-118.2863
241112970,12/29/2024 0:00,12/19/2024 0:00,1130,11,Northeast,1101,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),385,62,M,H,108,PARKING LOT,,,IC,Invest Cont,331,,,,5300    ZOO                          DR,,34.1548,-118.294
241815489,12/20/2024 0:00,12/19/2024 0:00,1530,18,Southeast,1824,1,330,BURGLARY FROM VEHICLE,1822 0344 1601 1307,65,M,H,101,STREET,,,IC,Invest Cont,330,,,,100TH                        ST,CENTRAL                      AV,33.9461,-118.2541
241315669,12/20/2024 0:00,12/19/2024 0:00,2230,13,Newton,1307,1,330,BURGLARY FROM VEHICLE,0344 1307,34,M,O,101,STREET,,,IC,Invest Cont,330,,,,1600 E  OLYMPIC                      BL,,34.0349,-118.2436
241218115,12/19/2024 0:00,12/19/2024 0:00,521,12,77th Street,1203,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822,0,X,X,102,SIDEWALK,,,IC,Invest Cont,440,,,,4900 S  WESTERN                      AV,,33.999,-118.3089
241913875,12/26/2024 0:00,12/19/2024 0:00,100,19,Mission,1955,1,440,THEFT PLAIN - PETTY ($950 & UNDER),344,43,F,H,103,ALLEY,,,IC,Invest Cont,440,,,,10300    BEVIS                        AV,,34.2581,-118.4554
250804148,12/19/2024 0:00,12/19/2024 0:00,727,8,West LA,807,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0394 0344,57,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440,,,,1800 N  BEVERLY GLEN                 BL,,34.1035,-118.4456
250804011,12/20/2024 0:00,12/19/2024 0:00,830,8,West LA,817,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 1822 2028,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,442,,,,1000    GAYLEY                       AV,,34.062,-118.448
241913853,12/23/2024 0:00,12/19/2024 0:00,800,19,Mission,1901,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),385,35,F,H,108,PARKING LOT,,,IC,Invest Cont,331,,,,14000    BALBOA                       BL,,34.3226,-118.4905
240122852,12/20/2024 0:00,12/19/2024 0:00,2345,1,Central,155,1,330,BURGLARY FROM VEHICLE,1300 0344 1307,23,F,B,207,BAR/COCKTAIL/NIGHTCLUB,,,IC,Invest Cont,330,,,,200 E  5TH                          ST,,34.0461,-118.2475
241012882,12/20/2024 0:00,12/19/2024 0:00,1550,10,West Valley,1011,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1822 0385,28,M,F,101,STREET,,,IC,Invest Cont,331,,,,WYANDOTTE                    ST,BOTHWELL                     RD,34.2029,-118.5607
241012901,12/23/2024 0:00,12/19/2024 0:00,145,10,West Valley,1083,1,330,BURGLARY FROM VEHICLE,385,62,F,W,101,STREET,,,IC,Invest Cont,330,,,,4300    NOGALES                      DR,,34.1501,-118.5477
250204004,12/20/2024 0:00,12/19/2024 0:00,2130,2,Rampart,265,1,330,BURGLARY FROM VEHICLE,1822 0344 1609 0329,30,M,W,101,STREET,,,IC,Invest Cont,330,,,,2100    JAMES M WOOD                 BL,,34.0547,-118.2772
241516118,12/20/2024 0:00,12/19/2024 0:00,1,15,N Hollywood,1503,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),385,30,F,H,101,STREET,,,IC,Invest Cont,331,,,,BELLINGHAM                   AV,DEHOUGNE                     ST,34.1958,-118.3987
240122835,12/19/2024 0:00,12/19/2024 0:00,930,1,Central,143,2,354,THEFT OF IDENTITY,930,23,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,400 S  BROADWAY,,34.0495,-118.2494
240412220,12/19/2024 0:00,12/19/2024 0:00,1150,4,Hollenbeck,469,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),325,23,M,H,203,OTHER BUSINESS,,,IC,Invest Cont,442,,,,3400 E  4TH                          ST,,34.034,-118.1969
240317185,12/24/2024 0:00,12/19/2024 0:00,1530,3,Southwest,328,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822,21,M,A,504,OTHER RESIDENCE,,,IC,Invest Cont,440,,,,700 W  32ND                         ST,,34.0242,-118.2805
241516050,12/19/2024 0:00,12/19/2024 0:00,1230,15,N Hollywood,1548,1,440,THEFT PLAIN - PETTY ($950 & UNDER),344,31,M,W,717,HEALTH SPA/GYM,,,IC,Invest Cont,440,,,,5300    LANKERSHIM                   BL,,34.167,-118.3759
240812633,12/19/2024 0:00,12/19/2024 0:00,1830,8,West LA,827,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0325 1822,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,343,,,,11700    SAN VICENTE                  BL,,34.054,-118.4623
241913854,12/23/2024 0:00,12/19/2024 0:00,2325,19,Mission,1987,1,330,BURGLARY FROM VEHICLE,1307 0344 1609,49,M,H,101,STREET,,,IC,Invest Cont,330,,,,13800    COMMUNITY                    ST,,34.2227,-118.4333
241112982,12/29/2024 0:00,12/19/2024 0:00,2100,11,Northeast,1172,1,330,BURGLARY FROM VEHICLE,0344 1302 1307,51,F,H,101,STREET,,,IC,Invest Cont,330,,,,2900    VAN PELT                     PL,,34.0919,-118.266
241516088,12/21/2024 0:00,12/19/2024 0:00,2100,15,N Hollywood,1543,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,28,M,B,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,BURBANK                      BL,CORTEEN                      PL,34.1721,-118.402
241112969,12/29/2024 0:00,12/19/2024 0:00,1600,11,Northeast,1126,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),385,35,F,W,101,STREET,,,IC,Invest Cont,331,,,,5300    LINCOLN                      AV,,34.1194,-118.2007
241913814,12/19/2024 0:00,12/19/2024 0:00,335,19,Mission,1987,1,330,BURGLARY FROM VEHICLE,385,26,F,H,101,STREET,,,IC,Invest Cont,330,,,,8300    HAZELTINE                    AV,,34.2216,-118.4404
241315687,12/20/2024 0:00,12/19/2024 0:00,1725,13,Newton,1371,1,440,THEFT PLAIN - PETTY ($950 & UNDER),344,32,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440,,,,100 W  54TH                         ST,,33.9933,-118.274
241516110,12/20/2024 0:00,12/19/2024 0:00,1207,15,N Hollywood,1549,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),325,35,M,X,406,OTHER STORE,,,IC,Invest Cont,442,,,,5400    LANKERSHIM                   BL,,34.1689,-118.3771
240913727,12/19/2024 0:00,12/19/2024 0:00,1925,9,Van Nuys,941,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822 1307,40,F,W,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,5700 N  SEPULVEDA                    BL,,34.174,-118.4661
250504067,1/21/2025 0:00,12/19/2024 0:00,2200,5,Harbor,523,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,0,,,101,STREET,,,IC,Invest Cont,341,,,,2000    JOHN S GIBSON                BL,,33.7566,-118.2896
241112971,12/29/2024 0:00,12/19/2024 0:00,1900,11,Northeast,1143,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),344,73,M,I,504,OTHER RESIDENCE,,,IC,Invest Cont,331,,,,3400    BEN LOMOND                   PL,,34.111,-118.2796
240412208,12/19/2024 0:00,12/19/2024 0:00,1545,4,Hollenbeck,421,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),325,25,M,H,203,OTHER BUSINESS,,,IC,Invest Cont,442,,,,2100 N  BROADWAY,,34.0732,-118.2189
240412244,12/21/2024 0:00,12/19/2024 0:00,1530,4,Hollenbeck,478,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),344,23,F,H,108,PARKING LOT,,,IC,Invest Cont,331,,,,800    EUCLID                       AV,,34.0315,-118.2068
240317150,12/21/2024 0:00,12/19/2024 0:00,2200,3,Southwest,338,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822 1251,21,M,W,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,1200 W  29TH                         ST,,34.0284,-118.2866
251404126,12/27/2024 0:00,12/19/2024 0:00,2047,14,Pacific,1485,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1822 0344,0,X,X,404,DEPARTMENT STORE,,,IC,Invest Cont,442,,,,8600 S  SEPULVEDA                    BL,,33.9579,-118.402
241516113,12/20/2024 0:00,12/19/2024 0:00,1904,15,N Hollywood,1585,1,410,"BURGLARY FROM VEHICLE, ATTEMPTED",,33,F,H,108,PARKING LOT,,,IC,Invest Cont,410,,,,11200    VENTURA                      BL,,34.143,-118.3727
241913864,12/24/2024 0:00,12/19/2024 0:00,1900,19,Mission,1935,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),385,40,M,H,101,STREET,,,IC,Invest Cont,331,,,,14800    SAN FERNANDO MISSION         BL,,34.2751,-118.4553
240122844,12/19/2024 0:00,12/19/2024 0:00,1950,1,Central,138,1,330,BURGLARY FROM VEHICLE,1300 0344 0329 1307,23,M,B,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,330,,,,300 S  CENTRAL                      AV,,34.0461,-118.2395
240713334,12/20/2024 0:00,12/19/2024 0:00,2100,7,Wilshire,755,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822,31,F,O,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,1300 S  BURNSIDE                     AV,,34.0503,-118.3532
251404098,12/23/2024 0:00,12/19/2024 0:00,815,14,Pacific,1469,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),344,0,X,X,402,MARKET,,,IC,Invest Cont,442,,,,6800    LA CIENEGA                   BL,,33.9761,-118.3726
240317255,12/29/2024 0:00,12/19/2024 0:00,1600,3,Southwest,376,2,354,THEFT OF IDENTITY,0100 0922 0930 1822,32,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,3900    DALTON                       AV,,34.0155,-118.3034
240812637,12/19/2024 0:00,12/19/2024 0:00,940,8,West LA,831,2,354,THEFT OF IDENTITY,1501,0,X,X,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,11900    SAN VICENTE                  BL,,34.0527,-118.4699
240513418,12/24/2024 0:00,12/19/2024 0:00,2040,5,Harbor,523,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,0,,,710,OTHER PREMISE,,,IC,Invest Cont,341,,,,2000    JOHN S GIBSON                BL,,33.7566,-118.2896
240317161,12/21/2024 0:00,12/19/2024 0:00,2137,3,Southwest,321,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0342 0104 0325 0216,23,X,X,404,DEPARTMENT STORE,,,IC,Invest Cont,343,,,,3500    LA CIENEGA                   BL,,34.0242,-118.3722
241218114,12/19/2024 0:00,12/19/2024 0:00,800,12,77th Street,1269,1,330,BURGLARY FROM VEHICLE,1300 1609 0329 1822 0344,25,F,H,104,DRIVEWAY,,,IC,Invest Cont,330,,,,400 E  80TH                         ST,,33.9665,-118.2674
240218271,12/27/2024 0:00,12/19/2024 0:00,1430,2,Rampart,249,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344,24,F,H,145,MAIL BOX,,,IC,Invest Cont,440,,,,1100 W  6TH                          ST,,34.0541,-118.2621
240513370,12/19/2024 0:00,12/19/2024 0:00,1600,5,Harbor,509,2,354,THEFT OF IDENTITY,1822,0,F,K,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,1300    HUNT TER,,33.8018,-118.2995
240713370,12/20/2024 0:00,12/19/2024 0:00,1415,7,Wilshire,732,1,440,THEFT PLAIN - PETTY ($950 & UNDER),394,32,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,,6100    LINDENHURST                  AV,,34.0657,-118.3614
240412216,12/19/2024 0:00,12/19/2024 0:00,2155,4,Hollenbeck,442,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),325,20,F,H,301,GAS STATION,,,IC,Invest Cont,442,,,,1800    MARENGO                      ST,,34.0586,-118.2119
240412321,12/19/2024 0:00,12/19/2024 0:00,1230,4,Hollenbeck,423,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1300 0329,24,M,H,101,STREET,,,IC,Invest Cont,740,,,,1800    JOHNSTON                     ST,,34.0653,-118.2102
240412209,12/19/2024 0:00,12/19/2024 0:00,1205,4,Hollenbeck,469,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),325,23,M,H,203,OTHER BUSINESS,,,IC,Invest Cont,442,,,,3400 E  4TH                          ST,,34.034,-118.1969
241516091,12/21/2024 0:00,12/19/2024 0:00,626,15,N Hollywood,1513,1,440,THEFT PLAIN - PETTY ($950 & UNDER),394,27,F,H,119,"PORCH, RESIDENTIAL",,,IC,Invest Cont,440,,,,6600    WILKINSON                    AV,,34.1912,-118.4041
251004009,12/30/2024 0:00,12/19/2024 0:00,1929,10,West Valley,1067,1,330,BURGLARY FROM VEHICLE,1822 0344,44,F,W,108,PARKING LOT,,,IC,Invest Cont,330,,,,17200    VENTURA                      BL,,34.166,-118.5095
241516057,12/19/2024 0:00,12/19/2024 0:00,1548,15,N Hollywood,1585,1,352,PICKPOCKET,344,43,F,W,404,DEPARTMENT STORE,,,IC,Invest Cont,352,,,,11200    VENTURA                      BL,,34.143,-118.3727
240513377,12/20/2024 0:00,12/19/2024 0:00,1845,5,Harbor,566,1,330,BURGLARY FROM VEHICLE,0329 0344 1300 1307,26,F,H,108,PARKING LOT,,,IC,Invest Cont,330,,,,800 S  MESA                         ST,,33.737,-118.2858
251104056,1/19/2025 0:00,12/19/2024 0:00,2010,11,Northeast,1137,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),385,24,M,H,101,STREET,,,IC,Invest Cont,331,,,,5100    MONTE VISTA                  ST,,34.1109,-118.2016
241112978,12/29/2024 0:00,12/19/2024 0:00,2236,11,Northeast,1162,1,330,BURGLARY FROM VEHICLE,0344 1302 1307,26,X,H,710,OTHER PREMISE,,,IC,Invest Cont,330,,,,4200    GATEWAY                      AV,,34.093,-118.2823
251404032,12/19/2024 0:00,12/19/2024 0:00,1450,14,Pacific,1494,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344,38,F,B,212,TRANSPORTATION FACILITY (AIRPORT),500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,341,,,,500    WORLD                        WY,,33.9427,-118.4049
240812635,12/20/2024 0:00,12/19/2024 0:00,940,8,West LA,882,2,354,THEFT OF IDENTITY,930,33,F,A,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,2000    CORINTH                      AV,,34.0404,-118.4447
240412234,12/20/2024 0:00,12/19/2024 0:00,2200,4,Hollenbeck,477,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),344,45,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,331,,,,2600 E  7TH                          ST,,34.0317,-118.2156
240513366,12/19/2024 0:00,12/19/2024 0:00,1235,5,Harbor,518,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1822 0344,0,X,X,404,DEPARTMENT STORE,,,IC,Invest Cont,442,,,,200 E  PACIFIC COAST                HY,,33.798,-118.2604
240913839,12/28/2024 0:00,12/19/2024 0:00,1824,9,Van Nuys,901,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0394 1822,44,M,W,504,OTHER RESIDENCE,,,IC,Invest Cont,440,,,,15400    WYANDOTTE                    ST,,34.203,-118.4685
240614036,12/19/2024 0:00,12/19/2024 0:00,710,6,Hollywood,636,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 0913,0,X,X,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,740,,,,1800    CHEROKEE                     AV,,34.1032,-118.3348
251504169,12/23/2024 0:00,12/19/2024 0:00,57,15,N Hollywood,1581,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1300 0344,35,F,W,101,STREET,,,IC,Invest Cont,331,,,,4300    TEESDALE                     AV,,34.1486,-118.4084
241611970,12/23/2024 0:00,12/19/2024 0:00,2125,16,Foothill,1638,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0394,36,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440,,,,10600    PINEWOOD                     AV,,34.2611,-118.2857
240614039,12/20/2024 0:00,12/19/2024 0:00,1945,6,Hollywood,663,1,330,BURGLARY FROM VEHICLE,1822 1300 0344 1307 1501,30,F,W,116,OTHER/OUTSIDE,,,IC,Invest Cont,330,,,,6700    FOUNTAIN                     AV,,34.0944,-118.3363
242113835,12/20/2024 0:00,12/19/2024 0:00,1516,21,Topanga,2156,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0325 0378,0,M,W,406,OTHER STORE,,,IC,Invest Cont,343,,,,6600    TOPANGA CANYON               BL,,34.1904,-118.6059
240913745,12/20/2024 0:00,12/19/2024 0:00,1830,9,Van Nuys,974,1,330,BURGLARY FROM VEHICLE,0344 1822,29,M,H,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,330,,,,WILLIS                       AV,VENTURA                      BL,34.152,-118.4553
251804035,12/19/2024 0:00,12/19/2024 0:00,55,18,Southeast,1891,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1822 1300 0344 0342,45,M,U,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,331,,,,16900    MERIT                        AV,,33.8777,-118.2884
240913735,12/20/2024 0:00,12/19/2024 0:00,1635,9,Van Nuys,998,2,354,THEFT OF IDENTITY,0928 1822,78,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,4000    MARY ELLEN                   AV,,34.1424,-118.4197
240317149,12/21/2024 0:00,12/19/2024 0:00,1130,3,Southwest,359,1,330,BURGLARY FROM VEHICLE,0342 1822 1309 0202 0344 0329,23,M,O,108,PARKING LOT,,,IC,Invest Cont,330,,,,3500 S  FLOWER                       ST,,34.0198,-118.2797
250904042,1/14/2025 0:00,12/19/2024 0:00,1700,9,Van Nuys,906,1,330,BURGLARY FROM VEHICLE,0344 1501,29,M,O,101,STREET,,,IC,Invest Cont,330,,,,14200    COVELLO                      ST,,34.2072,-118.4422
241218144,12/20/2024 0:00,12/19/2024 0:00,2005,12,77th Street,1211,1,352,PICKPOCKET,1300 0344 0346 1822,23,M,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,352,,,,SLAUSON                      AV,CRENSHAW                     BL,33.989,-118.3308
240913782,12/23/2024 0:00,12/19/2024 0:00,1200,9,Van Nuys,991,2,354,THEFT OF IDENTITY,1822 0930,50,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,3400    LOADSTONE                    DR,,34.1323,-118.4612
241315657,12/19/2024 0:00,12/19/2024 0:00,1205,13,Newton,1333,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),325,0,M,W,203,OTHER BUSINESS,,,IC,Invest Cont,442,,,,3200 S  CENTRAL                      AV,,34.0174,-118.2621
241415950,12/19/2024 0:00,12/19/2024 0:00,1,14,Pacific,1494,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1822 0329,33,F,H,212,TRANSPORTATION FACILITY (AIRPORT),500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,745,,,,300    WORLD                        WY,,33.9455,-118.4001
241415980,12/19/2024 0:00,12/19/2024 0:00,1430,14,Pacific,1469,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,45,F,B,124,BUS STOP,,,IC,Invest Cont,341,,,,W  CENTINELA                    AV,LA TIJERA                    BL,33.9773,-118.3718
240513410,12/23/2024 0:00,12/19/2024 0:00,2337,5,Harbor,523,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,0,,,101,STREET,,,IC,Invest Cont,341,,,,2000    JOHN S GIBSON                BL,,33.7566,-118.2896
240317197,12/23/2024 0:00,12/19/2024 0:00,1000,3,Southwest,392,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1822 0344 0385 1606 0329 0386,40,M,B,506,ABANDONED BUILDING ABANDONED HOUSE,,,IC,Invest Cont,420,,,,4400    4TH                          AV,,34.0037,-118.3214
240513419,12/24/2024 0:00,12/19/2024 0:00,224,5,Harbor,523,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,0,,,710,OTHER PREMISE,,,IC,Invest Cont,341,,,,2000    JOHN S GIBSON                BL,,33.7566,-118.2896
240412236,12/20/2024 0:00,12/19/2024 0:00,2300,4,Hollenbeck,478,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),329,55,M,H,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,745,,,,3300    SABINA                       ST,,34.0302,-118.2006
242113856,12/21/2024 0:00,12/19/2024 0:00,1400,21,Topanga,2145,1,330,BURGLARY FROM VEHICLE,0377 1605 0344,35,M,O,108,PARKING LOT,,,IC,Invest Cont,330,,,,6400    TOPANGA CANYON               BL,,34.1923,-118.6104
240614031,12/19/2024 0:00,12/19/2024 0:00,716,6,Hollywood,645,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1822 0325 0104 1501,0,X,X,404,DEPARTMENT STORE,,,IC,Invest Cont,442,,,,7000    HOLLYWOOD                    BL,,34.1015,-118.3417
240122859,12/20/2024 0:00,12/19/2024 0:00,1930,1,Central,161,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),325,27,M,H,404,DEPARTMENT STORE,,,IC,Invest Cont,442,,,,700 S  FIGUEROA                     ST,,34.0483,-118.2631
241516107,12/19/2024 0:00,12/19/2024 0:00,1224,15,N Hollywood,1506,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1822 0344 0325,35,M,X,406,OTHER STORE,,,IC,Invest Cont,442,,,,7100    VINELAND                     AV,,34.2027,-118.3745
242113864,12/22/2024 0:00,12/19/2024 0:00,1905,21,Topanga,2156,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0352 1420 0202 0378 1602 0325,35,M,X,404,DEPARTMENT STORE,,,IC,Invest Cont,442,,,,6600    TOPANGA CANYON               BL,,34.1904,-118.6059
240412219,12/19/2024 0:00,12/19/2024 0:00,1205,4,Hollenbeck,469,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),325,23,M,H,203,OTHER BUSINESS,,,IC,Invest Cont,442,,,,3400 E  4TH                          ST,,34.034,-118.1969
240913748,12/20/2024 0:00,12/19/2024 0:00,1210,9,Van Nuys,989,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822,23,F,W,733,BAR/SPORTS BAR (OPEN DAY & NIGHT),,,IC,Invest Cont,341,,,,13600    VENTURA                      BL,,34.1478,-118.4296
241415983,12/19/2024 0:00,12/19/2024 0:00,300,14,Pacific,1415,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",344,41,M,W,504,OTHER RESIDENCE,,,IC,Invest Cont,341,,,,1000    FREDERICK                    ST,,33.9999,-118.462
241315744,12/27/2024 0:00,12/19/2024 0:00,2230,13,Newton,1352,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),344,45,M,H,101,STREET,,,IC,Invest Cont,331,,,,200 E  VERNON                       AV,,34.0038,-118.2718
240317145,12/21/2024 0:00,12/19/2024 0:00,1800,3,Southwest,359,1,330,BURGLARY FROM VEHICLE,1251 1822 0329 1307 0344,24,M,O,101,STREET,,,IC,Invest Cont,330,,,,3500 S  FLOWER                       ST,,34.0198,-118.2797
